Month,Day,Sunrise,Sunset,AvgHighF,AvgLowF,MeanF,RecordHighF,RecordHighYear,RecordLowF,RecordLowYear
1,1,07:50,16:37,44,33,38,55,1981,8,1969
1,2,07:50,16:38,44,33,38,59,1981,5,2007
1,3,07:50,16:39,44,33,38,59,1984,13,1950
1,4,07:50,16:40,44,33,39,58,1984,19,1952
1,5,07:50,16:41,44,33,39,60,1967,16,2004
1,6,07:50,16:42,45,33,39,60,1966,5,2004
1,7,07:49,16:43,45,33,39,58,1969,5,2004
1,8,07:49,16:45,45,33,39,59,1953,15,1974
1,9,07:49,16:46,45,33,39,65,1990,13,1974
1,10,07:48,16:47,45,33,39,65,1990,13,1974
1,11,07:48,16:48,45,33,39,58,1953,10,1963
1,12,07:48,16:49,45,34,39,58,1991,12,1963
1,13,07:47,16:51,45,34,40,65,1991,2,2007
1,14,07:47,16:52,46,34,40,64,1991,-15,2007
1,15,07:46,16:53,46,34,40,61,1991,-20,2007
1,16,07:45,16:54,46,34,40,60,1961,-2,2007
1,17,07:45,16:56,46,34,40,61,1971,11,1950
1,18,07:44,16:57,46,34,40,62,1975,11,1950
1,19,07:43,16:59,46,34,40,61,1986,14,1950
1,20,07:43,17:00,46,34,40,58,1967,17,1960
1,21,07:42,17:01,47,34,40,55,1968,14,1962
1,22,07:41,17:03,47,34,41,57,1968,18,1962
1,23,07:40,17:04,47,35,41,64,1970,8,2007
1,24,07:39,17:06,47,35,41,60,2003,13,1950
1,25,07:38,17:07,47,35,41,61,1984,10,1950
1,26,07:37,17:08,47,35,41,60,2003,16,1950
1,27,07:36,17:10,47,35,41,65,2003,15,1950
1,28,07:35,17:11,47,35,41,59,1993,-7,2007
1,29,07:34,17:13,47,35,41,60,1992,-16,2007
1,30,07:33,17:14,48,35,41,59,1967,-4,2007
1,31,07:32,17:16,48,35,41,64,1995,-22,2007
2,1,07:31,17:17,48,35,41,62,1995,7,1950
2,2,07:29,17:19,48,35,42,60,1962,3,1950
2,3,07:28,17:20,48,35,42,62,1986,5,1950
2,4,07:27,17:22,48,35,42,63,1963,0,1989
2,5,07:26,17:23,48,35,42,62,1963,12,1989
2,6,07:24,17:25,48,35,42,58,1953,18,1989
2,7,07:23,17:26,49,35,42,59,1953,21,1989
2,8,07:21,17:27,49,35,42,62,1996,21,1989
2,9,07:20,17:29,49,35,42,65,1996,22,2005
2,10,07:19,17:30,49,35,42,62,1971,23,1989
2,11,07:17,17:32,49,35,42,61,1988,24,1982
2,12,07:16,17:33,49,35,42,62,1971,25,1968
2,13,07:14,17:35,49,35,42,63,1971,22,1949
2,14,07:13,17:36,50,35,43,61,1976,18,1990
2,15,07:11,17:38,50,35,43,62,1977,19,2006
2,16,07:09,17:39,50,35,43,63,1977,18,2006
2,17,07:08,17:41,50,36,43,63,1981,19,2006
2,18,07:06,17:42,50,36,43,64,1965,19,2006
2,19,07:05,17:43,50,36,43,66,1981,24,2005
2,20,07:03,17:45,51,36,43,64,1977,15,2006
2,21,07:01,17:46,51,36,43,64,1995,21,2006
2,22,07:00,17:48,51,36,44,64,1992,28,1951
2,23,06:58,17:49,51,36,44,64,2002,23,2007
2,24,06:56,17:50,52,36,44,67,1968,17,2003
2,25,06:54,17:52,52,36,44,68,1986,16,2003
2,26,06:53,17:53,52,36,44,67,1968,15,1962
2,27,06:51,17:55,52,36,44,65,1968,17,1962
2,28,06:49,17:56,53,36,45,69,1988,14,1962
3,1,06:47,17:57,53,37,45,67,1968,26,1971
3,2,06:46,17:59,53,37,45,64,1968,20,2007
3,3,06:44,18:00,53,37,45,67,1968,15,1989
3,4,06:42,18:01,54,37,45,66,1987,-23,2007
3,5,06:40,18:03,54,37,46,67,1986,-30,2007
3,6,06:38,18:04,54,37,46,66,1986,-20,2007
3,7,06:36,18:05,54,37,46,70,1965,27,1950
3,8,06:35,18:07,55,38,46,72,1953,29,1982
3,9,06:33,18:08,55,38,46,73,2004,29,1963
3,10,07:31,19:10,55,38,47,72,1965,28,2006
3,11,07:29,19:11,55,38,47,75,1965,27,1988
3,12,07:28,19:12,56,38,47,74,2005,27,1962
3,13,07:26,19:14,56,38,47,71,2005,25,2006
3,14,07:24,19:15,56,38,47,70,2005,29,1969
3,15,07:22,19:16,56,39,47,70,1996,22,2007
3,16,07:20,19:18,57,39,48,70,1972,27,2007
3,17,07:18,19:19,57,39,48,74,1972,29,1971
3,18,07:16,19:20,57,39,48,73,1972,29,1971
3,19,07:14,19:22,57,39,48,72,1978,24,2006
3,20,07:12,19:23,57,39,48,74,1988,29,1971
3,21,07:10,19:24,58,39,48,73,1978,29,1952
